_c2,_c6
s3vjVl0K8y_UwYtZR7s_-A,5.0
8V9cZIM-SHxJ7lwUcdA-0g,5.0
p4sWA2Uqkpc4ZAoHP-5gGQ,5.0
YOw1yg8THktCCioY2q55_A,5.0
vD44i5mI1DM3IM0IumdTXQ,5.0
Et0qEP5K0oTCpAZ0aULmpw,5.0
9_Ao2wZQFV5dbfLcawIQ4g,5.0
b-Qv1Y1YTTfX_y8QOvvPMg,5.0
P_WjVwhQj35NanrTHVux0g,5.0
Yeo5cXxha6RQtv0vv_Y9ng,3.0
FvpsZ4JRdFmfYqB80eRp3A,5.0
VeWwn5GmPscJ8p3SL7c9Fg,5.0
yf62TirpzYEngoO0QCFzPg,4.0
MzNgWdq1xuiC5WAmHupRZg,5.0
sZo-AQkZgrcBjYKFlfB5nQ,5.0
X0B2na2skWYX2jDouv9F_w,5.0
obTn6TfipZC8yptvKkM8Mw,5.0
SSvJQNdFAjq3ZspcPv8PRw,4.0
Djk49JjpKl9HQNpmiX669Q,3.0
x2kIaq8x6Q2I6uJxmVg4cA,5.0
_K9sKlA4fVkWI4hyGSpoPA,2.0
spuLpDcMQOdixxBUrR2c1Q,5.0
B0Q2YqU3zmFKwLsLVy3BZw,5.0
gnNWePSXZs6xEpdwb1_cvQ,5.0
XVlGWWixcjjmLOigYXzmng,5.0
j5zC_LoOoXnQeFQp0s6dWg,5.0
V7uS5US4oTf-S9u36HJQCQ,1.0
E6P4OUGcj87vT9YQ2cgVDQ,5.0
fynYyNVdNBAmFSxOYht2zA,5.0
2KigmSMqEnGYrLGgfKLQ9A,5.0
_VTEyUzzH92X3w-IpGaXVA,5.0
x-t7rHvsXsDvFlZgXB8lWQ,1.0
P5bUL3Engv-2z6kKohB6qQ,4.0
W-k23QYJjbWmieyH6sWAMw,5.0
GeUUznA9b-POQ-ke4oNrZg,5.0
w6vojfyk7-gh3UzwcqnvpA,4.0
yskW12efr_7D63AEcIqC2w,4.0
FH79bierETA44QEW86mx1g,5.0
xCvMncULOuY22XPuYT_THw,5.0
aQXr07MXpNs9CuxZi7LxPA,5.0
aaI6WHIH8z_0jtsv-b1fdQ,5.0
sOzeK0dE0BYx4Mc8dmoenQ,5.0
qdieS2KVqTBO_9LcCVwWzQ,5.0
q5lmK9zVOh6EcW2HNIUbhA,5.0
MDgL16yrtX3Fn97u8ZQKKg,5.0
0juzbrgcLHqobdK-OZAyiw,5.0
kHmsmPI5AzOqzRuCqsV2Ng,5.0
fdwVdy6TuY1kjYeEPMZKVw,4.0
JwyLTteyTAoZMKJbk3fFxA,5.0
ZIowdUve-IjIN-EgQIwCLA,5.0
KRcarrlaABmgM-EzofCh_g,5.0
KK_hwlNUOoIIMFM33tczww,2.0
0bRYpZIvnS4f1b85yhj3TA,2.0
1jWX85cb5FAN78WbLJTUZA,4.0
TRnzbL9I_Fs7z74vPEDzuQ,5.0
_KIvL8QWHHZv8Giuf_pHlg,5.0
JnGtgOPpkjyWOvWM0SYEXg,4.0
OpTpHCablRGHeLhDhWiQSA,5.0
qEdxnnadZ2tcU9JOXjnGdw,5.0
ti5JXvrwgGYN_1z60I54xw,2.0
U4INQZOPSUaj8hMjLlZ3KA,5.0
8IZvten0AsI048cecDtupQ,5.0
RYCs_CBpZKY4_aKfbhZM3g,5.0
lkLJv1TB4sciwlW4g6x8qw,4.0
V-izfOO9Pyh_zNLsn7JASg,5.0
jX52sZoojxyYV2viWNyO7A,5.0
I2F4VyZGB0FW2JzzlKz37g,5.0
j75J-ZNGwHopAi8Ui85iEw,1.0
7Ax2hu_01E9mznK7H14JtQ,3.0
RqUJo6tjD8m4JEuZ37VN5g,5.0
9j3EILvGpHgoOy70rIP4XA,4.0
QE3l3G8M3d-icDMHtPyHIQ,4.0
Wd43YdZtztC169e2K_7jog,5.0
2gJ0FifyABaEQ92uEKNQnQ,5.0
6--9sGYj4t8Knt5BBiZvpw,5.0
Z_WAxc4RUpKp3y12BH1bEg,5.0
y4ybSBGqAgTuNzS8_6niLA,4.0
mCjFUY2xM2sUvEKdLCWrRQ,1.0
pR_5lhfJ4NmsFQDz_Ahkyw,4.0
gvYdMI_M6clQDGkrAvbRuA,4.0
G-uVT9JxNMbrPApvuVO6pg,5.0
w4VL01b4klRkUiOMpNUOsA,5.0
AMP14kl74ZmETwdNposPNw,5.0
4LgwgT3uCBDibrwqD1bvRA,4.0
28pnvxB_0NI3yiJ4vAYwGQ,4.0
SqVapHIKVeUw3a1Q7MK2mg,4.0
1WEHUvZ2Qqlc46_qHsOOFA,3.0
5kGjN-DcuD4eR8XnjEXnkA,5.0
1jWX85cb5FAN78WbLJTUZA,4.0
6pryBgYDVCmp1JudhoKpmg,5.0
c_9JTKu1SX-pb2dtzimWhA,5.0
81VIwNUOYQG4zTuSQEdkGw,5.0
nmE4iCpfc4q-ke_eDpayGA,1.0
ou49IB-dKqkDR1pep_mWPQ,5.0
OYKuUkXARtrPr1F9v5mkEQ,4.0
dCATwLTGaDZAbSFxA-4pkw,4.0
q6UCOzZHK3L4gpxgwM2V_w,4.0
KlC5BtqRxfRlY7OgTtPgoQ,4.0
N4wdu2ECcsLLLyMp-cQhgA,5.0
T6jCRh9Qi6bzAp-TG2Duvw,4.0
xiBGreimmO1XYqznZIwv1w,5.0
R87KHDjkopwoF8FODFW2HQ,5.0
HFZHPHHEIzn-gqTldIrbTQ,5.0
ojm14lh_LrlO_-XXHbu7AQ,5.0
IEf-45Hj56fWd3slUc3tGQ,5.0
9ynasN32yrC_Rl1jPWLoSQ,5.0
gbL6Ib0ZlDifREthciI7kQ,5.0
twV69QQrEZTxVwH20p-Nvg,5.0
H4BiIX0gU-Fc2S487g7z1Q,5.0
RavaLdA8umaLrNhE_0xC-g,5.0
bfoYY9RKX-adDkBr9NyQFg,5.0
sKAy3ZjAP_8-OiUwgE2QIA,5.0
28pnvxB_0NI3yiJ4vAYwGQ,4.0
0CqAmHUSWPEQdrnCbDiaVA,4.0
SRjFsLFbRl2GMVSX1b8Y8Q,4.0
AJcwRgdkHtu3kOrEKlXq8A,5.0
I4eTqRHq93iElqq4f5istw,5.0
NJAEPidRvg-sPrVfLF61yA,5.0
ZGXTScol8GbsHNZ-IIwn6g,3.0
LDBzkED_MXFXVQEJO16N1g,5.0
L7OrWfYxpUcaUKrz3vTVkg,5.0
Ej04WqamNF3KlGqMXubGDA,5.0
8yyWHxkW97oJQ7biUecgSQ,5.0
5ZWXzjjtTByzzlFi3yDYvQ,1.0
ez0HVTZ90_K9otnPnV4ECg,5.0
SNvODfhVIIHxxXMuP4r-kQ,5.0
P3usQcIegPCl-cdH4IDirg,3.0
LQjg2W_A-UmIlnAhq0I1Ag,5.0
F052e8-JNm0jwm6gjG365Q,5.0
c_T9sGM79aM9KGXKy7FTwA,2.0
9RYD5m8xUb5la2wGsf30_A,4.0
vW_pU_A3xHrZcTOCtS_UrA,5.0
IUv1htWvqTlzt8QzWA7mLw,3.0
pJktyczv1QMnv-catT05iw,5.0
3_m4HysQsjleT_sYEq8TXQ,5.0
LUpPyHnDlQOm9F4GCKcuHA,3.0
ChHrY5mAZiLKzn6r_U2uDQ,4.0
UPOd3X8RCbmpwCAi-hKkxQ,5.0
2WPS6dCSfx3PjqLKqljOFQ,3.0
_K9sKlA4fVkWI4hyGSpoPA,4.0
zAF6yw7Bz-U6fj8NXFa3gw,5.0
UXu3f8kqK1jzlmbWkigCyQ,5.0
wEJCvhFoA_TpaSqz2mGqyg,5.0
_f45zaiMXw9jUs6NJ7VP0Q,5.0
5R89g_U8YWAbA8wmtqdFYQ,4.0
ckQyi6cnOyLE1LWrfn-qww,5.0
vTvKxBjTg9IuOsPJLSYubA,4.0
HUmClClluKP5Ur6X7e306Q,4.0
Kvkj-IWfl-YqFfAfDmLBMQ,4.0
8RcEwGrFIgkt9WQ35E6SnQ,4.0
kc_NTjtgOrJJABei7ZytRQ,4.0
dCCYQDF3kCj0d9GuayLdjQ,5.0
IpReaQYuXO_nB07xnkHuNw,5.0
5aCEquYmXUIsWmpUp1gqxA,5.0
re3AdczLFP4D7xwI6DkBNA,4.0
4ywot8otRcdRDW1sQjceSw,5.0
kgGDqH2pdSydOGxt3imVHw,5.0
3FJ-7rwTESoNlSOl6x_bkg,4.0
o8Lo2pvM19nyYPBBycgSVg,5.0
KxQ0MCQ81fg5uZeY_8tNmQ,5.0
9IbtjnhH01duiWPpVhFXWw,5.0
jfkUCwQtS8fsWEIF_2pHjA,5.0
7Q5aPLtDrWDhWPlFRkrYWw,5.0
vW_pU_A3xHrZcTOCtS_UrA,5.0
QvCP78RTLyVVu9LKhPKNvg,4.0
ZDAC2bpr7FNx_v4lf9f4cw,3.0
wiCR6Kq2jS2YFoE4lyVoUg,5.0
-Xd4wnEzAoSWIYJRntcbqw,5.0
RYCs_CBpZKY4_aKfbhZM3g,5.0
mphvb6MRmPgnIT8pmU-x0w,5.0
TiD1JrLX-LiCdQabMwj4Fg,4.0
i9f0veDFPwEI2f-kGdJQkQ,5.0
55BHF1Wzqc5RQy0HfuPdLQ,4.0
W8f2_B1NDXi7c9sXHi4r4A,5.0
7V29xzsIxlHfdcHsnpHB3Q,4.0
CUIF1s6-f-V6FY-RC6p8lQ,5.0
39x6GSjxiW5nv4zWRLnMCQ,5.0
GjTy3hz1gpbduGemIGBYeg,5.0
8RcEwGrFIgkt9WQ35E6SnQ,4.0
GtFd_J-G5fLpKU27NbGuAg,3.0
dcmDgwfzaRK5GXD_5CIudw,4.0
UlF7L8wyiAMK4ijiEjChhA,5.0
tYDXs4WT8OR7EhhLrbQyWw,5.0
8TdJ4bTZazpvZXkjWCpxOA,4.0
S-4koMT09NsCaDpisqWqlA,4.0
rTV3tH_ohj5hqzYpe2z1Ww,4.0
-TFv_KaosUSnkJFUb9MUaA,5.0
MbQr940lg_-xQcS4h9-aDA,5.0
ZLQtgrzdgcqtjXBwaYTt6g,3.0
IHOCvB0ZZ9_pLx509U3tpw,5.0
Sf2TR1C0Zlty2vaYzl1Byw,5.0
ePB3pBx7eE6ozJ3QHRTxtw,5.0
z_9oeZ5aN8g8AzPNENht8w,4.0
FE31j1dYCgym3pSie2oWgA,2.0
lUAEesLvvNUAYqqkxLFpgQ,1.0
o-1CSpG_ymgqWHaXgYKlMw,5.0
AM0PRGrzopQR4R5FQiQHCA,5.0
YsLO27XZBiEennSx9OV0Fg,5.0
Z-Hzlzu4m_D41g_MhcudDA,4.0
OX3RuPCJcOKDwQLVBpa0VA,4.0
OKGg5VYzAO-rtfzmtRFgew,4.0
V4lfq57g-nbtmjHrTBt1Vw,4.0
UVUIi0q38pAvsfuEEppe0Q,5.0
6FTl4OydB7S7crH8v2JWnA,5.0
XzzFyIFLYw8AjhJtxVtMUw,1.0
cIeYOZZm2BGME06l8FHjEg,5.0
tWdmhxiokZwIy2m4Zd236A,4.0
SmhhtyewhCO2X4XAnhPfbg,5.0
NwPfhnenFG8NEugGLPynRA,5.0
nzjKqK_BjQpAmCqvWkUbsA,5.0
2fN8mN7uUjOw-QqtcgYqXQ,4.0
qEdxnnadZ2tcU9JOXjnGdw,5.0
peXWpBYKrFs0h7HzFgkUTA,5.0
2nAF-Nkc8A1Ost224uAK9A,5.0
Z_GlhEhJ7tAtC8d4ti19SA,1.0
WAIG4NTjX4d3Q0tpwAk10A,4.0
9S0VFqNFSi-75y6eIuH0Fg,5.0
B5mpfVCviyUl9Bsdef5jUQ,4.0
arY2V-MtKksRAoqd-dVYOQ,5.0
ccQln40oSXRN5EVmvOqbaQ,5.0
YReS107aoCvIy0C7U_FRCQ,4.0
Yy9nQUnNvPvoZodQBT-WPg,5.0
50wPDE_Gk936RYV7i4FJhw,5.0
L35UBl44Dmg4s8a5HWQYjg,2.0
OGa2q6LvuQLYFUG_RCcALw,4.0
1wEGvdhBdxaoTC7PKHdzYQ,5.0
SIpBqzGhRM7T5cDFiuIryg,5.0
NSPc5WAzKjQr2D3SiFAeXg,5.0
LU7ikPXZ5R8tv4oNQZQkKw,5.0
7D2F7AcFCnS0hbcWNFTGjA,1.0
D4CZEcbXTUiy_OvMgmMMXQ,5.0
yP_3Eknhf4ZEiq8udUvN4A,5.0
4ypEkjMXPe7ga3U9XzArqQ,5.0
4wp4XI9AxKNqJima-xahlg,5.0
29qpS6gn7ENkvvZaJSfhmg,1.0
cuVrNmt7_WtBn1uz5L_p0g,5.0
XkFWkPI3rvsR3edyJsB3Qw,5.0
dtZsG6UHihMBQhwNFI_LBg,3.0
R_ID5xU9Mm78pH9pJNiggQ,4.0
L8691JybNzKyDMEmAKs0ug,5.0
W6M5typzZhNi4Ta-aGusyA,4.0
qwdYFHzrlYPCAb1VZVmWEg,5.0
oBhQMjrT0zdSLdlybWRA_w,4.0
9CfgDur9vhtnvH43l9FQZg,5.0
4mqvkMd3mjt14i5gyYn_Ww,5.0
KgB0PWymZ44X1ig54FtBfg,3.0
7hLF7wIEID7AdZZqs0x1fw,5.0
_yJlV4FLvIr4J92XJiyEUw,5.0
EhU1MQ8xepETK8UOkE5EJw,4.0
HwcjEqA1V3bKtb07JKGIKQ,5.0
iDYw0nEWSE0GAXd3K9YBzA,5.0
5YL6Fwih9ZgOZgLf_aw15g,5.0
u7f8qsRYHCwWGUomm659SA,5.0
FdQZxULvI4GT0-1meVap7w,4.0
bKuBcGObXATSEDgpDlPpvg,5.0
pF86C6zrfJMLuFA7woUJUw,5.0
qZqqd0ZleZ7k1Vgdce1MPg,5.0
td06jFpggpa5hSKSkU0tKA,5.0
EuIh4hwfMCxO05BilHhRrQ,5.0
8cW-bYGkWZgJs4zkLXJLNg,5.0
WrBT2aPzumkZSfX0_3FuVw,5.0
G0K5EDd1P06pExwy3NYHLQ,5.0
XgwuVEqWRWlcy8HEBHa7QA,4.0
8dWVRK9v6TrhD-63TTEoIw,5.0
3F4jxfkqZN76wZuSF2OAaw,4.0
CSIc4hf87BEQC3sdxbT1GA,5.0
UsmTxWbobLsI6WR1Db0W7A,5.0
Nnz2QtnXOfPxvHO95oAYXQ,5.0
IuyU1bNd4V__RcpqfzMp-A,5.0
rcBksQNmJH-KRmLperzn_A,4.0
8RcEwGrFIgkt9WQ35E6SnQ,4.0
TRa6aD6vHUC-q6uYVRgScA,5.0
JZ5-5n7ieD3mZUwb72JRng,3.0
DWjeffgOzmmxo6cLBGItKQ,5.0
4Aj9NpdxnT5CHZnn95SlKA,2.0
E9T5qU_fD_HNOzuj2gkc3A,5.0
jR0-OdW5O4TIsHDjc3Arqg,4.0
f7pbQuon-3GbyNbzcNSQdQ,5.0
fxJcpYyCBgi61PtmlZXTjQ,5.0
QS76EnLBl6rZsnXFPuUfqQ,5.0
HzIIEAdbEa5G_Hi6JpT7Bw,5.0
ffLp6-tspFi1jD3RpISyEQ,4.0
k1NQPEB7s3vEpaqXodg8vA,4.0
nnwBdqGHIAJQ5QX9lHOtrQ,5.0
qN0rmMRWS7hHGfi3etaFTw,1.0
xDYZjoE02HNXMH9dZXVlig,5.0
7Es142FCTqk_5-yZ_Wr55g,4.0
0C65lVj_ujVYDs7b2yYBAA,4.0
J9Ka0DGmqitPjPLptcEk7w,5.0
_BdsihLg1y9dfD-VDyw5Zg,5.0
nnwBdqGHIAJQ5QX9lHOtrQ,3.0
u0FLjYIsr7R9zaCJI-F66Q,4.0
lskjv26lnLMNN5eNt56JCg,5.0
-nro7PmIobE1wl-nkuK_jg,5.0
AM0PRGrzopQR4R5FQiQHCA,5.0
elyvWgnY-oN7TfLMDt9o4Q,5.0
Ai0THfXbaxY-Jm6ygqn1MQ,3.0
DMk-1C5y6RcF1nPb1rCvmA,4.0
e8ctA42_X95wLlrf09YZQg,4.0
6d74xseomEdQZ7u5CIkh9A,4.0
2RKfUSVZBeTJ-_X9bmGmKQ,5.0
bA0HFEw8Jre3b07m3TFSAA,5.0
LpnIbrtaWQ5hSU3TorJf0A,5.0
qM-d89XwxKeG6iZfOnOhSw,5.0
Odj7rHyVCq2n-YT3Q9Sppw,5.0
55BHF1Wzqc5RQy0HfuPdLQ,4.0
ipeEoKAGKF8Uw92rFOfjIg,5.0
